Id,District Name,Neighborhood Name,Street,Year,Month,Weekday,Part of the day
2017S001596    ,Sant Martí,el Besòs i el Maresme,CÀLLER / Cristóbal de Moura                       ,2017,February,Sunday,Afternoon
2017S001593    ,Nou Barris,Porta,PINTOR ALSAMORA / Escultor Ordóñez                ,2017,February,Sunday,Afternoon
2017S001598    ,Eixample,la Sagrada Família,ST ANTONI M CLARET / Dos de Maig                  ,2017,February,Sunday,Afternoon
2017S001594    ,Ciutat Vella,el Raval,FLORS / Sant Pau                                  ,2017,February,Sunday,Afternoon
2017S001599    ,Eixample,la Dreta de l'Eixample,MALLORCA / Av Diagonal                            ,2017,February,Sunday,Night
2017S001597    ,Eixample,l'Antiga Esquerra de l'Eixample,CASANOVA / Còrsega                                ,2017,February,Sunday,Night
2017S001595    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,SICÍLIA / Indústria                               ,2017,February,Sunday,Night
2017S001600    ,Nou Barris,Canyelles,RDA DALT(LLOBREGAT                                ,2017,February,Monday,Morning
2017S001601    ,Sants-Montjuïc,la Marina de Port,GV CORTS CATALANES                                ,2017,February,Monday,Morning
2017S001602    ,Eixample,la Sagrada Família,CÒRSEGA / Marina                                  ,2017,February,Monday,Morning
2017S001604    ,Eixample,la Sagrada Família,ARAGÓ / Lepant                                    ,2017,February,Monday,Morning
2017S001605    ,Ciutat Vella,el Raval,RBLA RAVAL / Sant Rafael                          ,2017,February,Monday,Morning
2017S001603    ,Eixample,el Fort Pienc,PADILLA / Diputació                               ,2017,February,Monday,Morning
2017S001606    ,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,DOCTOR ROUX / Dalmases                            ,2017,February,Monday,Morning
2017S001610    ,Sant Andreu,el Bon Pastor,POTOSÍ / Ciutat d'Asunción                        ,2017,February,Monday,Morning
2017S001611    ,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,2017,February,Monday,Afternoon
2017S001608    ,Eixample,la Dreta de l'Eixample,VALÈNCIA / Roger de Llúria                        ,2017,February,Monday,Afternoon
2017S001614    ,Ciutat Vella,el Barri Gòtic,RDA LITORAL(BESÒS)                                ,2017,February,Monday,Afternoon
2017S001607    ,Ciutat Vella,el Barri Gòtic,PL CATALUNYA / Fontanella                         ,2017,February,Monday,Afternoon
2017S001609    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Rbla Catalunya                            ,2017,February,Monday,Afternoon
