Date,Year,Post ID,Platform,Post Type,Content Type,Link,Post,Engagement Rate,Engagements,Reactions,Comments,Shares
2022-04-02,2022,1.5105E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510501626703872005,"Surprise, Surprise! @RiggsMorales1 is added to the list of Honorees and presented with a Recording Academy Global Impact Award by @IamRicoLove.

🎶: @amazonmusic #BMCHonors https://t.co/MrkpdKYVIf",,1634.0,490.0,9.0,28.0
2022-04-02,2022,1.51048E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510478615011467265,"We are going to remember this special night! ✨ Our guests @flytetymejam, @OfficialNnenna, @robertglasper and honoree @dnice have arrived.

@amazonmusic #BMCHonors https://t.co/87mLfSbu4h",,1526.0,265.0,7.0,30.0
2022-04-02,2022,1.7898E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb4MAVPONBn/,"Two icons, one stage. Honoree #MCLyte accepts the @RecordingAcademy Global Impact Award from #Saweetie onstage. ⭐️

🎶: @amazonmusic @rotation #BMCHonors",0.0628,6936.0,6707.0,142.0,
2022-04-02,2022,1.51029E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510291720285663235,Who are you most excited to see present at the #GRAMMYs on Sunday?  https://t.co/cX1CX8pHV3,,17821.0,4738.0,1080.0,681.0
2022-04-02,2022,1.82874E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb4EXgVO9Ba/,"#Yola serving looks on the carpet tonight. 🔥

🎶: @amazonmusic @rotation #BMCHonors",0.0505,1645.0,1592.0,31.0,
2022-04-02,2022,7.08214E+18,TikTok,Post,Video,https://www.tiktok.com/@grammys/video/7082135097838734634?utm_campaign=tt4d_open_api&utm_source=7036369194396418050,Just read the sign 🪧 #GRAMMYs @cbs,0.1048,8181.0,7879.0,277.0,25.0
2022-04-02,2022,1.79244E+16,Instagram,Post,Carousel,https://www.instagram.com/p/Cb4QzjrOi62/,"Gratitude, excellence, and joy were the themes tonight at the #BMCHonors. ❤️ 

A night to remember and one that starts a tradition.",0.0443,12007.0,11588.0,65.0,
2022-04-02,2022,1.51047E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510473418507886593,"Looking great on the carpet are @iamyola, @Hit_Boy, our leadership team Harvey Mason jr., @valeisha and @panaypanos, as well our voice of the night and an honoree @mclyte ✨

🎶 @amazonmusic #BMCHonors https://t.co/GcVV0IRAh6",,1765.0,264.0,5.0,27.0
2022-04-02,2022,1.79083E+16,Instagram,Reel,Video,https://www.instagram.com/reel/Cb3Gi3MAFBF/,"Backstage At The GRAMMYs 🎶 #JBalvin

The Prince of Reggaeton talks the importance of representing his culture alongside @mariabecerra and sharing their sound on the #GRAMMYs stage.",0.011,6355.0,5673.0,213.0,231.0
2022-04-02,2022,7.08208E+18,TikTok,Post,Video,https://www.tiktok.com/@grammys/video/7082076787257216299?utm_campaign=tt4d_open_api&utm_source=7036369194396418050,When #GRAMMYs week brings @londonlaz & @rod together.,0.1062,10455.0,10400.0,47.0,8.0
2022-04-02,2022,1.79313E+16,Instagram,Post,Video,https://www.instagram.com/tv/Cb3WlyCg8tW/,"Our favorite #GRAMMYs moment? 

@trevornoah hosting Music’s Biggest Night. What the biggest stars on the biggest stage tomorrow at 8pm ET /5pm PT on @cbstv and @paramountplus.",0.0171,7290.0,6932.0,121.0,
2022-04-02,2022,1.51041E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510408491898449925,"ONE 👏 MORE 👏 SLEEP 👏

@ who you're watching the #GRAMMYs with! April 3 on @CBS. 🎶 https://t.co/74UYAux6bu",,11991.0,2546.0,108.0,384.0
2022-04-02,2022,7.08207E+18,TikTok,Post,Video,https://www.tiktok.com/@grammys/video/7082067240052444462?utm_campaign=tt4d_open_api&utm_source=7036369194396418050,GRAMMY FLASHBACK: Song of the Year. 🎶 Tune in to Music’s Biggest Night this Sunday on CBS. ✨ #GRAMMYs,0.0744,2139.0,2094.0,38.0,7.0
2022-04-02,2022,1.51049E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510494149434257421,"Sweet angel @chloebailey closing out the Recording Academy Honors performances for the night. ✨

🎶: @amazonmusic #BMCHonors. https://t.co/yd8zNaTozs",,7099.0,3023.0,12.0,215.0
2022-04-02,2022,1.81146E+16,Instagram,Post,Video,https://www.instagram.com/p/Cb21ySZsETQ/,"One 👏 more 👏 sleep 👏

The artist runs ins on the red carpet, the unexpected performances, the GRAMMY winners, the backstage moments. It’s all so close.

We'll meet you tomorrow at 8 PM ET / 5 PM PT on @CBStv and @paramountplus for Music’s Biggest Night. Plus right here on our social channels for an inside look at exclusive moments happening live at the #GRAMMYs!",0.0953,10524.0,9994.0,177.0,
