Niche,Product Name,ASIN,Brand,Launch Date,Niche Click Count (Past 360 days),Click Share (Past 360 days),Average Selling Price (Past 360 days) (USD),Total Ratings,Average Customer Rating,Average BSR,Average # of Sellers and Vendors (Past 360 days)
shower steamers,OYEKEEP Shower Steamers Aromatherapy - Christmas Gifts Stocking Stuffers for Women and Men 8 Pcs Shower Bombs with Natural Essential Oil Stree Relief&Self Care&Relaxation Birthday Gift for Her Blue,B0CHS1S8YR,OYEKEEP,2023-09-11,9913,0.0057,12.39,196,4.5,123,2
shower steamers,Shower Steamers Aromatherapy + Stone Tray - 8 Pack Shower Bombs for Women Self Care & Stress Relief - Home SPA with Lavender Eucalyptus Shower Tablets Aromatherapy - Birthday Gifts for Women and Men,B0CGRXK1B1,WONDER FAMILY,2023-08-28,5209,0.003,24.88,136,4.5,104,1
shower steamers,MR MIRYE Shower Steamers Aromatherapy 20-Pack Shower Bombs Organic with Verbena Orange&Vanilla Watermelon Lemongrass&Coconut Eucalyptus&Mint Essential Oil Birthday Mothers Day Gifts for Her,B0BG8K1HG2,MR MIRYE,2022-09-23,20860,0.0121,16.65,486,4.3,50,1
shower steamers,TranquilBliss Shower Steamers 6 Count Scented Shower Bombs with Organic & Natural Fragrance Self-Care & Relaxation Birthday Gifts for Women Who Have Everything,B0CJ2K61WK,TranquilBliss,2023-11-05,5378,0.0031,11.53,95,4.4,50,1
shower steamers,Cleverfy Shower Steamers Aromatherapy - Compact Variety Pack of 6 Shower Bombs with Essential Oils. Self Care and Relaxation Birthday Gifts for Women and Men. Blue Set,B07P8SQVXR,CLEVERFY,2019-05-09,11480,0.0066,13.37,16233,4.3,499,3
shower steamers,OYEKEEP Shower Steamers Aromatherapy-12pcs Essential Oil Shower Bombs Self Care Christmas Gifts Stocking Stuffers for Women Relaxation Gifts for Women and Men (Blue),B0CJ8PGMBR,OYEKEEP,2023-11-20,4513,0.0026,17.39,102,4.4,40,1
shower steamers,GuruNanda Breathe Shower Steamer Tablets (Pack of 10) - 100% Natural Eucalyptus Essential Oil helps with Congestion and Basil Supports Stress Relief & Mental Clarity - Perfect for Home Spa & Self Care,B0CH3JR1YY,GuruNanda,2023-09-01,4782,0.0027,9.97,195,3.8,25,2
shower steamers,Bumodel Shower Steamers Aromatherapy 6Pack Organic Shower Bath Bombs for Women Mom and men Shower Tablets with Natural Essential Oils for Home SPA Self Care Relaxation Gifts for Birthday Christmas Day,B09ZQB1W21,BUMODEL,2022-05-07,6354,0.0036,7.59,462,4.3,63,1
shower steamers,SWCANDY Shower Steamers Aromatherapy 18 PCS Eucalyptus for Shower Lavender Shower Tablets Self Care & Spa Gifts with Lavender Natural Essential Oils,B0CPYBSRTR,SWCANDY,2023-12-11,4224,0.0024,11.47,559,4.3,60,1
shower steamers,Body Restore Shower Steamers Aromatherapy 6 Pack - Stress Relief and Luxury Self Care Relaxation Birthday Gifts for Women and Men Valentines Day Gifts - Tea Tree,B0BXBC51JV,Body Restore,2023-05-27,4528,0.0026,9.31,1130,4.3,14,1
shower steamers,Organic Shower Steamers Aromatherapy - Natural Shower Bombs Vapor Tablets for Home Spa Relaxation Shower Melts Relaxing Self Care Gifts for Men Women Kids Teens - Easter Gift for Him Her,B07J43LNZ9,Mineral Me California,2018-10-07,6069,0.0035,16.9,4347,4.4,57,1
